Date,Country,Rate
28-Aug-00,Venezuela,0.6898
29-Aug-00,Venezuela,0.6903
30-Aug-00,Venezuela,0.6895
31-Aug-00,Venezuela,0.6885
1-Sep-00,Venezuela,0.6895
4-Sep-00,Venezuela,ND
5-Sep-00,Venezuela,0.6904
6-Sep-00,Venezuela,0.6903
7-Sep-00,Venezuela,0.6903
8-Sep-00,Venezuela,0.6905
11-Sep-00,Venezuela,0.6905
12-Sep-00,Venezuela,0.6897
13-Sep-00,Venezuela,0.6903
14-Sep-00,Venezuela,0.6895
15-Sep-00,Venezuela,0.6897
18-Sep-00,Venezuela,0.6898
19-Sep-00,Venezuela,0.6908
20-Sep-00,Venezuela,0.6908
21-Sep-00,Venezuela,0.6908
22-Sep-00,Venezuela,0.6905
25-Sep-00,Venezuela,0.6908
26-Sep-00,Venezuela,0.6903
27-Sep-00,Venezuela,0.6910
28-Sep-00,Venezuela,0.6913
29-Sep-00,Venezuela,0.6915
2-Oct-00,Venezuela,0.6913
3-Oct-00,Venezuela,0.6917
4-Oct-00,Venezuela,0.6918
5-Oct-00,Venezuela,0.6915
6-Oct-00,Venezuela,0.6918
9-Oct-00,Venezuela,ND
10-Oct-00,Venezuela,0.6922
11-Oct-00,Venezuela,0.6920
12-Oct-00,Venezuela,0.6923
13-Oct-00,Venezuela,0.6925
16-Oct-00,Venezuela,0.6930
17-Oct-00,Venezuela,0.6933
18-Oct-00,Venezuela,0.6924
19-Oct-00,Venezuela,0.6928
20-Oct-00,Venezuela,0.6930
23-Oct-00,Venezuela,0.6936
24-Oct-00,Venezuela,0.6940
25-Oct-00,Venezuela,0.6942
26-Oct-00,Venezuela,0.6944
27-Oct-00,Venezuela,0.6944
30-Oct-00,Venezuela,0.6940
31-Oct-00,Venezuela,0.6942
1-Nov-00,Venezuela,0.6940
2-Nov-00,Venezuela,0.6938
3-Nov-00,Venezuela,0.6950
6-Nov-00,Venezuela,0.6948
7-Nov-00,Venezuela,0.6952
8-Nov-00,Venezuela,0.6954
9-Nov-00,Venezuela,0.6952
10-Nov-00,Venezuela,0.6955
13-Nov-00,Venezuela,0.6956
14-Nov-00,Venezuela,0.6958
15-Nov-00,Venezuela,0.6960
16-Nov-00,Venezuela,0.6960
17-Nov-00,Venezuela,0.6958
20-Nov-00,Venezuela,0.6955
21-Nov-00,Venezuela,0.6960
22-Nov-00,Venezuela,0.6962
23-Nov-00,Venezuela,ND
24-Nov-00,Venezuela,0.6967
27-Nov-00,Venezuela,0.6975
28-Nov-00,Venezuela,0.6970
29-Nov-00,Venezuela,0.6970
30-Nov-00,Venezuela,0.6975
1-Dec-00,Venezuela,0.6977
4-Dec-00,Venezuela,0.6978
5-Dec-00,Venezuela,0.6980
6-Dec-00,Venezuela,0.6983
7-Dec-00,Venezuela,0.6980
8-Dec-00,Venezuela,0.6980
11-Dec-00,Venezuela,0.6967
12-Dec-00,Venezuela,0.6986
13-Dec-00,Venezuela,0.6988
14-Dec-00,Venezuela,0.6993
15-Dec-00,Venezuela,0.6985
18-Dec-00,Venezuela,0.6990
19-Dec-00,Venezuela,0.6995
20-Dec-00,Venezuela,0.6990
21-Dec-00,Venezuela,0.7000
22-Dec-00,Venezuela,0.7000
25-Dec-00,Venezuela,ND
26-Dec-00,Venezuela,0.6995
27-Dec-00,Venezuela,0.6997
28-Dec-00,Venezuela,0.7003
29-Dec-00,Venezuela,0.7005
1-Jan-01,Venezuela,ND
2-Jan-01,Venezuela,0.7008
3-Jan-01,Venezuela,0.7002
4-Jan-01,Venezuela,0.6994
5-Jan-01,Venezuela,0.6988
8-Jan-01,Venezuela,0.6990
9-Jan-01,Venezuela,0.6993
10-Jan-01,Venezuela,0.6997
11-Jan-01,Venezuela,0.6998
12-Jan-01,Venezuela,0.6995
15-Jan-01,Venezuela,ND
16-Jan-01,Venezuela,0.6999
17-Jan-01,Venezuela,0.6995
